row_id,price,spec_general_marque,spec_general_type_produit,spec_general_reference,spec_informations_impedance_nominale,spec_forme_materiaux_systeme_magnetique,spec_forme_materiaux_forme_facade,spec_parametres_petits_signaux_qts,spec_parametres_petits_signaux_qes,spec_parametres_petits_signaux_qms,spec_forme_materiaux_materiau_saladier,spec_forme_materiaux_materiau_suspension,spec_forme_materiaux_support_bobine,spec_forme_materiaux_fil_bobine,spec_forme_materiaux_materiau_dome,spec_informations_puissance_nominale_w,spec_informations_sensibilite_fabricant_db,spec_parametres_petits_signaux_fs_hz,spec_donnees_poids_kg,spec_parametres_fondamentaux_re_ohm,spec_donnees_xmax_mm,spec_parametres_fondamentaux_mms_gr,spec_donnees_ebp_hz,spec_parametres_petits_signaux_vas_l,spec_donnees_rendement_calcule_pct,spec_parametres_fondamentaux_le_mh,spec_parametres_fondamentaux_sd_cm2,spec_parametres_fondamentaux_bl_t_m,spec_dimensions_diametre_systeme_magnetique_mm,spec_informations_puissance_max_w,spec_dimensions_hauteur_entrefer_mm,spec_dimensions_hauteur_bobinage_mm,spec_donnees_rendement_pct
720,123.0,Eminence,Haut parleur a cone,THE GOVERNOR,16 ohm,Ferrite,Cylindrique,0.56,0.59,11.41,Acier,Papier,Nomex,Cuivre,Tissu,75.0,102.3,101.0,4.9,6.81,1.24,32.0,171.0,30.1,5.05,0.41,519.5,15.3,,,7.9,,
721,123.0,Eminence,Haut parleur a cone,THE GOVERNOR,16 ohm,Ferrite,Cylindrique,0.63,0.66,12.51,Acier,Papier,Nomex,Cuivre,Tissu,75.0,102.2,103.0,4.9,14.0,1.24,28.0,156.0,32.8,5.22,0.7,519.5,19.5,,,7.9,,
722,123.0,Eminence,Haut parleur a cone,THE TONKER,8 ohm,Ferrite,Cylindrique,0.47,0.49,10.02,Acier,Papier,Polyimide,Cuivre,Tissu,150.0,101.5,89.0,5.0,7.36,0.8,36.0,182.0,34.1,4.71,0.47,519.5,17.4,,,7.9,,
723,121.0,Eminence,Haut parleur a cone,THE WIZARD,8 ohm,Ferrite,Cylindrique,0.47,0.49,11.48,Acier,Papier,Nomex,Cuivre,Tissu,75.0,102.8,89.0,5.0,6.13,0.8,30.0,182.0,41.5,5.74,0.38,519.5,14.4,,,7.9,,
724,300.0,Eminence,Haut parleur a cone,DEFINIMAF 4018LF,8 ohm,Ferrite,Cylindrique,0.34,0.35,11.95,Aluminium,Tissu,Polyimide,Cuivre,,1200.0,94.9,30.0,10.9,6.1,17.14,217.0,86.0,254.71,1.89,5.54,1188.0,26.75,,2400.0,9.5,,
725,149.0,Eminence,Haut parleur a cone,KAPPA-12A,8 ohm,Ferrite,Cylindrique,0.27,0.28,7.76,Acier,Tissu,Polyimide,Aluminium,,450.0,99.3,45.0,6.8,5.41,3.2,42.0,161.0,112.1,3.51,0.77,519.5,15.2,,900.0,9.5,,
726,238.0,Eminence,Haut parleur a cone,LAB12,6 ohm,Ferrite,Cylindrique,0.38,0.39,13.32,Aluminium,Mousse,Polyimide,Cuivre,Papier,400.0,89.2,22.0,10.0,4.29,13.0,146.0,56.0,125.2,0.33,1.48,506.7,15.0,,800.0,9.5,,
727,109.0,Eminence,Haut parleur a cone,LEGEND V128,8 ohm,Ferrite,Cylindrique,0.77,0.83,11.98,Acier,Papier,Polyimide,Cuivre,,120.0,100.9,89.0,3.7,6.37,0.8,30.0,107.0,39.4,3.22,0.64,519.5,11.5,,,7.9,,
728,58.0,Faital Pro,Haut parleur a cone,10FE200,8 ohm,Ferrite,Cylindrique,0.7,0.74,11.3,Acier,Tissu,Kapton,Aluminium,,150.0,96.0,55.0,2.8,5.9,4.67,24.5,74.0,53.4,1.16,0.42,332.0,8.2,115.3,,8.0,12.0,1.16
729,58.0,Faital Pro,Haut parleur a cone,10FE200,4 ohm,Ferrite,Cylindrique,0.54,0.52,9.2,Acier,Tissu,Kapton,Aluminium,,150.0,96.0,55.0,2.8,3.0,4.62,24.8,106.0,53.0,1.63,0.3,332.0,7.0,115.3,,8.0,11.9,1.62
730,98.0,Faital Pro,Haut parleur a cone,10FE300,8 ohm,Ferrite,Cylindrique,0.52,0.54,13.1,Acier,Tissu,Fibre de verre,Aluminium,,250.0,96.0,50.0,3.7,5.8,5.52,35.9,93.0,50.5,1.13,0.6,358.0,11.3,134.0,500.0,8.0,13.7,1.2
731,104.0,Faital Pro,Haut parleur a cone,10FE330,8 ohm,Ferrite,Cylindrique,0.4,0.43,6.7,Acier,Caoutchouc,Fibre de verre,Aluminium,,250.0,92.0,35.0,3.5,5.3,8.32,58.2,81.0,72.4,0.7,1.1,382.0,12.6,133.0,500.0,8.0,19.3,0.7
732,79.0,Faital Pro,Haut parleur a cone,10FE400,8 ohm,Ferrite,Cylindrique,0.47,0.52,5.2,Acier,Tissu,Aluminium,Aluminium,,200.0,96.0,60.0,3.0,5.0,5.42,36.5,115.0,35.3,1.41,0.68,362.0,11.5,135.0,400.0,8.0,13.5,1.42
733,247.0,Faital Pro,Haut parleur a cone,10FH500,8 ohm,Neodymium,Cylindrique,0.26,0.28,3.3,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,96.0,60.0,,5.1,7.5,47.0,214.0,22.9,1.7,0.85,328.0,17.9,140.0,,10.5,18.5,1.7
734,247.0,Faital Pro,Haut parleur a cone,10FH500,4 ohm,Neodymium,Cylindrique,0.25,0.26,6.2,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,96.0,60.0,,3.3,7.25,50.1,231.0,21.4,1.71,0.64,328.0,15.5,140.0,,10.5,18.0,1.73
735,247.0,Faital Pro,Haut parleur a cone,10FH500,16 ohm,Neodymium,Cylindrique,0.42,0.43,5.7,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,95.0,65.0,4.1,12.8,7.25,47.5,151.0,19.2,1.18,1.37,328.0,23.8,140.0,,10.5,18.0,1.17
736,272.0,Faital Pro,Haut parleur a cone,10FH520,8 ohm,Neodymium,Cylindrique,0.29,0.3,11.1,Aluminium,Tissu,Fibre de verre,Aluminium,,600.0,97.0,60.0,,5.1,7.25,50.3,200.0,20.5,1.42,0.9,321.0,18.0,106.0,,12.0,18.5,1.44
737,272.0,Faital Pro,Haut parleur a cone,10FH520,16 ohm,Neodymium,Cylindrique,0.41,0.42,15.3,Aluminium,Tissu,Fibre de verre,Aluminium,,600.0,96.0,65.0,,12.8,7.0,44.5,155.0,19.7,1.24,1.7,321.0,23.5,106.0,,12.0,18.0,1.24
738,250.0,Faital Pro,Haut parleur a cone,10FH530,8 ohm,Ferrite,Cylindrique,0.25,0.25,12.4,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,97.0,60.0,8.1,5.1,7.5,50.3,240.0,20.4,1.7,0.8,321.0,19.5,191.0,,10.5,18.5,1.7
739,250.0,Faital Pro,Haut parleur a cone,10FH530,16 ohm,Ferrite,Cylindrique,0.25,0.4,10.9,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,96.0,67.0,8.1,12.8,7.45,47.0,168.0,17.6,1.28,1.42,321.0,25.1,191.0,,10.5,18.4,1.28
740,341.0,Faital Pro,Haut parleur a cone,10HP1020,8 ohm,Neodymium,Cylindrique,0.24,0.25,6.5,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,96.0,60.0,6.0,5.5,9.0,72.5,240.0,13.7,1.14,0.85,315.0,24.5,121.0,,12.0,22.0,1.14
741,378.0,Faital Pro,Haut-parleur coaxial a deux entrees,10HX230,8+8 ohm,Ferrite,Cylindrique,0.35,0.37,5.8,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,96.0,65.0,5.5,5.3,7.37,34.0,176.0,25.8,1.84,0.54,321.0,14.1,156.0,,8.0,17.4,1.86
742,434.0,Faital Pro,Haut-parleur coaxial a deux entrees,10HX240,8+8 ohm,Neodymium,Cylindrique,0.28,0.3,3.3,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,96.0,65.0,4.1,5.3,3.69,31.6,217.0,31.8,2.8,0.45,347.0,15.5,126.0,500.0,8.0,17.4,2.98
743,210.0,Faital Pro,Haut parleur a cone,10PR300,4 ohm,Neodymium,Cylindrique,0.24,0.25,5.8,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,96.0,50.0,,3.3,4.92,34.4,200.0,43.3,2.08,0.45,322.0,11.8,120.0,,8.0,12.5,2.01
744,210.0,Faital Pro,Haut parleur a cone,10PR300,8 ohm,Neodymium,Cylindrique,0.27,0.29,5.8,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,98.0,60.0,,5.4,4.92,28.2,207.0,36.7,2.63,0.6,322.0,14.1,120.0,,8.0,12.5,2.67
745,210.0,Faital Pro,Haut parleur a cone,10PR300,16 ohm,Neodymium,Cylindrique,0.46,0.52,5.8,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,65.0,,12.1,4.92,33.1,125.0,26.7,1.36,0.85,322.0,18.0,120.0,,8.0,12.5,1.44
746,176.0,Faital Pro,Haut parleur a cone,10PR310,8 ohm,Ferrite,Cylindrique,0.34,0.36,5.7,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,98.0,60.0,,5.4,4.92,36.9,167.0,28.0,1.62,0.64,322.0,14.4,156.0,,8.0,12.5,1.63
747,176.0,Faital Pro,Haut parleur a cone,10PR310,4 ohm,Ferrite,Cylindrique,0.29,0.32,7.4,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,55.0,,3.3,4.92,35.1,172.0,35.2,1.76,0.45,322.0,11.5,156.0,,8.0,12.5,1.88
748,176.0,Faital Pro,Haut parleur a cone,10PR310,16 ohm,Ferrite,Cylindrique,0.45,0.52,5.3,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,65.0,,12.1,4.92,35.0,125.0,25.2,1.28,1.22,322.0,18.7,156.0,,8.0,12.5,1.36
749,222.0,Faital Pro,Haut parleur a cone,10PR320,8 ohm,Neodymium,Cylindrique,0.29,0.31,4.6,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,96.0,48.0,3.2,5.3,7.37,35.0,155.0,45.9,1.58,0.57,321.0,13.5,95.0,,8.0,17.4,1.6
750,222.0,Faital Pro,Haut parleur a cone,10PR320,16 ohm,Neodymium,Cylindrique,0.38,0.43,3.3,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,95.0,50.0,,11.3,7.27,33.6,116.0,44.1,1.24,0.98,321.0,16.7,95.0,,8.0,17.2,1.25
751,180.0,Faital Pro,Haut parleur a cone,10PR330,8 ohm,Ferrite,Cylindrique,0.33,0.36,4.6,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,96.0,60.0,,5.3,7.37,36.5,167.0,28.3,1.64,0.64,322.0,14.3,156.0,,8.0,17.4,1.67
752,235.0,Faital Pro,Haut parleur a cone,10PR410,8 ohm,Ferrite,Cylindrique,0.21,0.22,8.7,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,99.0,60.0,8.2,5.4,4.5,36.5,273.0,27.6,2.61,0.6,317.8,18.5,191.0,,10.5,12.5,2.67
753,192.0,Faital Pro,Haut parleur a cone,10RS350,8 ohm,Ferrite,Cylindrique,0.37,0.4,5.2,Aluminium,Caoutchouc,Fibre de verre,Aluminium,,300.0,91.0,40.0,4.8,5.3,7.37,59.0,100.0,39.5,0.61,0.95,322.0,14.0,156.0,,8.0,17.4,0.61
754,192.0,Faital Pro,Haut parleur a cone,10RS350,4 ohm,Ferrite,Cylindrique,0.31,0.33,6.2,Aluminium,Caoutchouc,Fibre de verre,Aluminium,,300.0,91.0,40.0,4.8,3.2,7.17,64.5,121.0,36.1,0.68,0.45,322.0,12.5,156.0,,8.0,17.0,0.68
755,244.0,Faital Pro,Haut parleur a cone,10RS430,8 ohm,Ferrite,Cylindrique,0.31,0.31,10.0,Aluminium,Caoutchouc,Fibre de verre,Aluminium,,400.0,91.0,32.0,6.8,6.8,13.57,66.5,103.0,61.5,0.63,0.78,344.0,17.0,181.0,800.0,8.0,29.8,0.62
756,111.0,Faital Pro,Haut parleur a cone,12FE300,8 ohm,Ferrite,Cylindrique,0.51,0.53,15.5,Acier,Tissu,Fibre de verre,Cuivre,,250.0,97.0,47.0,4.4,5.1,5.07,56.4,89.0,83.7,1.58,0.8,543.0,12.5,1133.0,500.0,8.0,12.8,1.55
757,117.0,Faital Pro,Haut parleur a cone,12FE330,8 ohm,Ferrite,Cylindrique,0.45,0.48,7.0,Acier,Caoutchouc,Fibre de verre,Cuivre,,250.0,94.0,33.0,3.6,5.3,8.32,74.2,69.0,146.7,1.06,1.1,579.0,13.0,133.0,500.0,8.0,19.3,94.0
758,92.0,Faital Pro,Haut parleur a cone,12FE400,8 ohm,Ferrite,Cylindrique,0.57,0.63,6.6,Acier,Tissu,Aluminium,Cuivre,,200.0,97.0,55.0,3.1,5.0,2.71,47.9,87.0,73.6,1.87,0.75,549.0,11.5,135.0,400.0,8.0,13.5,1.9
759,279.0,Faital Pro,Haut parleur a cone,12FH500,8 ohm,Neodymium,Cylindrique,0.25,0.26,6.9,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,97.0,45.0,,5.1,7.5,56.0,173.0,75.1,2.53,0.83,487.0,17.5,128.0,,10.5,18.5,2.5
760,279.0,Faital Pro,Haut parleur a cone,12FH500,4 ohm,Neodymium,Cylindrique,0.23,0.23,9.09,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,97.0,45.0,,3.3,7.25,60.9,196.0,69.1,2.63,0.63,487.0,15.5,128.0,,10.5,18.5,2.58
761,279.0,Faital Pro,Haut parleur a cone,12FH500,16 ohm,Neodymium,Cylindrique,0.36,0.38,11.0,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,96.0,48.0,,12.8,7.25,55.5,126.0,66.6,1.87,1.2,487.0,23.8,128.0,,10.5,18.5,1.93
762,254.0,Faital Pro,Haut parleur a cone,12FH510,8 ohm,Ferrite,Cylindrique,0.24,0.25,10.9,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,98.0,45.0,8.8,5.1,7.5,61.0,180.0,69.6,2.44,0.9,489.0,18.9,191.0,,10.5,18.5,2.5
763,254.0,Faital Pro,Haut parleur a cone,12FH510,4 ohm,Ferrite,Cylindrique,0.25,0.26,7.9,Aluminium,Tissu,Fibre de verre,Aluminium,Papier,500.0,97.0,45.0,7.8,45.0,3.75,66.0,173.0,75.2,2.54,0.8,533.0,16.3,191.0,1000.0,10.5,18.5,2.87
764,283.0,Faital Pro,Haut parleur a cone,12FH530,8 ohm,Ferrite,Cylindrique,0.26,0.27,6.4,Aluminium,Tissu,Fibre de verre,Aluminium,,500.0,98.0,45.0,,5.1,7.5,67.0,167.0,63.0,2.05,0.8,489.0,18.9,191.0,,10.5,18.5,2.1
765,340.0,Faital Pro,Haut parleur a cone,12FX600,8 ohm,Neodymium,Cylindrique,0.24,0.25,6.88,Aluminium,Tissu,Fibre de verre,Cuivre,,700.0,97.0,48.0,5.5,5.3,9.9,100.0,192.0,39.0,1.66,1.34,500.0,25.3,147.0,,12.0,23.8,1.68
766,302.0,Faital Pro,Haut parleur a cone,12HP1010,8 ohm,Ferrite,Cylindrique,0.33,0.35,9.4,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,96.0,45.0,,5.5,9.25,87.2,129.0,50.0,1.25,1.33,496.0,19.8,200.0,,10.5,22.0,1.28
767,382.0,Faital Pro,Haut parleur a cone,12HP1020,8 ohm,Neodymium,Cylindrique,0.27,0.28,9.4,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,97.0,55.0,6.2,5.5,9.0,86.0,196.0,33.7,1.93,1.1,494.0,24.3,128.0,,12.0,22.0,1.97
768,361.0,Faital Pro,Haut parleur a cone,12HP1030,8 ohm,Ferrite,Cylindrique,0.3,0.31,13.8,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,95.0,45.0,11.9,5.0,12.45,130.5,145.0,29.9,0.85,1.35,469.0,24.3,220.0,,12.0,28.9,0.85
769,361.0,Faital Pro,Haut parleur a cone,12HP1030,4 ohm,Ferrite,Cylindrique,0.27,0.28,9.4,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,94.0,45.0,11.9,2.9,12.45,141.0,161.0,27.7,0.87,0.96,469.0,20.5,220.0,,12.0,28.9,0.89
770,423.0,Faital Pro,Haut parleur a cone,12HP1060,8 ohm,Neodymium,Cylindrique,0.28,0.29,12.1,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,95.0,45.0,,5.0,12.45,126.9,155.0,30.08,0.91,1.38,469.0,24.8,147.0,,12.0,28.9,0.93
771,423.0,Faital Pro,Haut parleur a cone,12HP1060,4 ohm,Neodymium,Cylindrique,0.26,0.26,12.1,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,95.0,45.0,,2.9,12.45,138.7,173.0,28.15,0.95,1.13,469.0,20.7,147.0,,12.0,28.9,0.94
772,403.0,Faital Pro,Haut-parleur coaxial a deux entrees,12HX230,8+8 ohm,Ferrite,Cylindrique,0.44,0.46,7.4,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,97.0,55.0,5.2,5.3,7.37,50.2,120.0,56.6,1.97,0.62,489.0,14.1,156.0,,8.0,17.4,1.98
773,403.0,Faital Pro,Haut-parleur coaxial a deux entrees,12HX230,16+16 ohm,Ferrite + Neodymium,Cylindrique,0.56,0.59,10.1,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,96.0,56.0,5.2,11.5,3.64,45.3,95.0,72.3,2.07,0.93,539.0,17.6,256.0,60.0,8.0,17.2,2.08
774,464.0,Faital Pro,Haut-parleur coaxial a deux entrees,12HX240,8+8 ohm,Neodymium,Cylindrique,0.39,0.41,8.14,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,97.0,56.0,4.3,5.5,7.37,47.9,137.0,68.4,2.82,0.54,539.0,15.2,126.0,500.0,8.0,17.4,2.9
775,701.0,Faital Pro,Haut-parleur coaxial a deux entrees,12HX500,8+8 ohm,Neodymium,Cylindrique,0.39,0.42,6.94,Aluminium,Tissu,Fibre de verre,Aluminium,,400.0,95.0,54.0,5.5,5.6,9.25,56.7,129.0,62.3,2.25,0.57,540.0,16.2,126.0,800.0,9.0,21.5,2.32
776,224.0,Faital Pro,Haut parleur a cone,12PR300,4 ohm,Neodymium,Cylindrique,0.43,0.42,19.4,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,50.0,,3.3,4.92,54.4,119.0,63.1,1.81,0.46,489.0,11.8,122.0,,8.0,12.5,1.92
777,224.0,Faital Pro,Haut parleur a cone,12PR300,8 ohm,Neodymium,Cylindrique,0.36,0.37,9.9,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,99.0,50.0,,5.4,4.92,43.4,135.0,79.2,2.57,0.42,489.0,14.1,122.0,,8.0,12.5,2.6
778,224.0,Faital Pro,Haut parleur a cone,12PR300,16 ohm,Neodymium,Cylindrique,0.52,0.55,4.8,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,50.0,,12.1,4.92,44.8,91.0,76.7,1.68,0.98,489.0,17.5,122.0,,8.0,12.5,1.67
779,198.0,Faital Pro,Haut parleur a cone,12PR310,8 ohm,Ferrite,Cylindrique,0.4,0.41,11.6,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,99.0,54.0,,5.4,4.92,46.9,132.0,62.83,2.32,0.61,489.0,14.4,156.0,,8.0,12.5,2.32
780,198.0,Faital Pro,Haut parleur a cone,12PR310,4 ohm,Ferrite,Cylindrique,0.42,0.43,13.6,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,98.0,50.0,5.1,3.3,4.92,52.0,116.0,66.4,1.86,0.44,489.0,11.2,156.0,,8.0,12.5,1.87
781,198.0,Faital Pro,Haut parleur a cone,12PR310,16 ohm,Ferrite,Cylindrique,0.67,0.7,12.2,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,98.0,55.0,5.1,12.1,4.92,51.0,79.0,55.7,1.28,0.98,489.0,17.3,156.0,,8.0,12.5,1.27
782,242.0,Faital Pro,Haut parleur a cone,12PR320,8 ohm,Neodymium,Cylindrique,0.37,0.39,7.8,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,97.0,42.0,2.8,5.3,7.37,51.4,108.0,94.8,1.73,0.67,489.0,13.5,95.0,,8.0,17.4,1.73
783,242.0,Faital Pro,Haut parleur a cone,12PR320,16 ohm,Neodymium,Cylindrique,0.52,0.56,7.6,Acier,Tissu,Fibre de verre,Aluminium,,300.0,96.0,45.0,2.8,11.3,7.27,52.5,80.0,80.8,1.27,0.96,489.0,17.3,95.0,,8.0,17.2,1.28
784,203.0,Faital Pro,Haut parleur a cone,12PR330,8 ohm,Ferrite,Cylindrique,0.4,0.42,10.9,Aluminium,Tissu,Fibre de verre,Aluminium,,300.0,98.0,50.0,4.3,5.3,7.37,50.8,119.0,67.7,1.94,0.76,489.0,14.2,156.0,,8.0,17.4,1.96
785,203.0,Faital Pro,Haut parleur a cone,12PR330,16 ohm,Ferrite,Cylindrique,0.48,0.53,5.8,Acier,Tissu,Fibre de verre,Aluminium,,300.0,97.0,52.0,4.3,11.3,7.27,48.7,98.0,65.2,1.67,1.34,489.0,18.5,156.0,,8.0,17.2,1.7
786,436.0,Faital Pro,Haut parleur a cone,12RS1066,8 ohm,Neodymium,Cylindrique,0.33,0.34,13.9,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,1000.0,93.0,42.0,7.7,5.0,12.45,156.5,124.0,29.5,0.62,1.35,476.0,24.8,147.0,,12.0,28.9,0.63
787,436.0,Faital Pro,Haut parleur a cone,12RS1066,16 ohm,Neodymium,Cylindrique,0.44,0.46,11.2,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,1000.0,92.0,45.0,7.7,12.0,12.45,151.5,98.0,26.5,0.51,2.5,476.0,33.5,147.0,,12.0,28.9,0.51
788,259.0,Faital Pro,Haut parleur a cone,12RS430,8 ohm,Ferrite,,0.38,0.39,10.0,Aluminium,Caoutchouc,Fibre de verre,Aluminium,,400.0,93.0,30.0,7.0,6.8,13.57,88.6,77.0,135.2,0.9,0.78,552.0,17.0,181.0,800.0,8.0,29.8,0.9
789,267.0,Faital Pro,Haut parleur a cone,12RS550,8 ohm,Ferrite,Cylindrique,0.37,0.39,6.9,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,500.0,93.0,42.0,,5.1,9.25,123.0,108.0,43.5,0.8,1.5,512.8,20.5,191.0,,10.5,22.0,0.8
790,526.0,Faital Pro,Haut parleur a cone,12XL1200,8 ohm,Neodymium,Cylindrique,0.42,0.43,14.8,Aluminium,Tissu,Fibre de verre,Cuivre,,1400.0,93.0,50.0,6.8,5.0,12.45,152.0,116.0,20.8,0.59,1.3,469.0,23.6,147.0,,12.0,28.9,0.59
791,312.0,Faital Pro,Haut parleur a cone,15FH500,8 ohm,Neodymium,Cylindrique,0.31,0.32,10.4,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,98.0,35.0,,5.1,9.25,104.0,109.0,180.5,2.33,1.3,800.0,19.2,129.0,,10.5,22.0,2.38
792,312.0,Faital Pro,Haut parleur a cone,15FH500,16 ohm,Neodymium,Cylindrique,0.45,0.47,13.2,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,97.0,35.0,5.0,12.7,9.25,95.4,74.0,196.8,1.73,2.0,800.0,23.8,129.0,,10.5,22.0,1.74
793,296.0,Faital Pro,Haut parleur a cone,15FH510,8 ohm,Ferrite,Cylindrique,0.27,0.27,10.7,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,98.0,35.0,9.2,5.1,9.25,108.0,130.0,173.8,2.65,1.4,800.0,21.0,191.0,,10.5,22.0,2.6
794,336.0,Faital Pro,Haut parleur a cone,15FH520,8 ohm,Neodymium,Cylindrique,0.39,0.41,10.1,Aluminium,Tissu,Fibre de verre,Aluminium,,600.0,98.0,36.0,,5.6,8.75,105.0,88.0,186.5,2.04,0.89,847.0,18.4,129.0,1200.0,12.0,21.5,2.15
795,336.0,Faital Pro,Haut parleur a cone,15FH520,16 ohm,Neodymium,Cylindrique,0.62,0.65,13.5,Aluminium,Tissu,Fibre de verre,Aluminium,,600.0,97.0,42.0,,12.7,9.0,107.2,65.0,125.8,1.38,1.7,813.0,23.5,129.0,,12.0,22.0,1.43
796,336.0,Faital Pro,Haut parleur a cone,15FH520,4 ohm,Neodymium,Cylindrique,0.34,0.35,9.0,Aluminium,Tissu,Fibre de verre,Aluminium,,600.0,97.0,38.0,,2.7,9.15,114.7,109.0,146.2,2.21,0.68,813.0,14.3,129.0,,12.0,22.3,2.1
797,303.0,Faital Pro,Haut parleur a cone,15FH530,8 ohm,Ferrite,Cylindrique,0.35,0.36,8.9,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,97.0,39.0,,5.1,9.25,123.5,108.0,126.4,2.0,1.1,813.0,20.7,191.0,,10.5,22.0,2.02
798,442.0,Faital Pro,Haut parleur a cone,15FX560,8 ohm,,Non cylindrique,0.3,0.31,6.8,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,99.0,38.0,,5.2,9.42,115.0,123.0,143.0,2.43,0.64,813.0,21.5,188.0,,14.0,23.5,2.47
799,427.0,Faital Pro,Haut parleur a cone,15FX600,8 ohm,Neodymium,Cylindrique,0.26,0.27,7.4,Aluminium,Tissu,Fibre de verre,Cuivre,,700.0,98.0,36.0,5.9,5.0,11.25,142.5,133.0,128.6,2.14,1.26,813.0,24.5,147.0,,12.0,26.5,2.17
800,401.0,Faital Pro,Haut parleur a cone,15HP1020,8 ohm,Neodymium,Cylindrique,0.27,0.28,10.2,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,98.0,40.0,7.4,5.5,9.0,118.0,143.0,109.6,2.41,1.2,759.0,24.2,129.0,,12.0,22.0,2.45
801,404.0,Faital Pro,Haut parleur a cone,15HP1030,8 ohm,Ferrite,Cylindrique,0.34,0.35,11.8,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,96.0,40.0,12.8,5.0,12.45,165.0,114.0,82.8,1.46,1.4,780.0,24.3,220.0,,12.0,28.9,1.46
802,404.0,Faital Pro,Haut parleur a cone,15HP1030,4 ohm,Ferrite,Cylindrique,0.3,0.31,13.4,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,96.0,40.0,12.8,3.97,12.45,177.5,129.0,77.0,1.53,1.0,780.0,20.5,220.0,,12.0,28.9,1.55
803,454.0,Faital Pro,Haut parleur a cone,15HP1060,8 ohm,Neodymium,Cylindrique,0.31,0.32,11.4,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,97.0,40.0,8.6,5.0,12.45,156.3,125.0,87.5,1.68,1.32,780.0,24.8,147.0,,12.0,28.9,1.7
804,454.0,Faital Pro,Haut parleur a cone,15HP1060,4 ohm,Neodymium,Cylindrique,0.34,0.35,10.3,Aluminium,Tissu,Fibre de verre,Cuivre,,1000.0,97.0,40.0,8.6,2.9,12.45,205.4,114.0,66.5,1.17,1.25,780.0,20.7,147.0,,12.0,28.9,1.18
805,725.0,Faital Pro,Haut-parleur coaxial a deux entrees,15HX500,8+8 ohm,Neodymium,Cylindrique,0.28,0.29,5.5,Aluminium,Tissu,Fibre de verre,Aluminium,,400.0,97.0,40.0,6.1,5.0,9.4,110.0,138.0,150.1,3.19,0.84,864.0,22.2,,80.0,9.0,21.8,3.32
806,246.0,Faital Pro,Haut parleur a cone,15PR300,8 ohm,Neodymium,Cylindrique,0.48,0.5,14.0,Aluminium,Tissu,Fibre de verre,Cuivre,,300.0,97.0,35.0,3.2,5.4,5.23,99.2,70.0,220.1,1.82,0.89,870.0,15.6,150.0,600.0,8.2,13.2,1.89
